id,status,result__focalYear,result__focalSample,result__targetYear,result__targetSample,result__statType,result__subject,result__grade,result__jurisdiction,result__scale,result__variable,result__variableLabel,result__valLabel,result__valValue,result__focalValue,result__isFocalStatDisplayable,result__focalErrorFlag,result__targetValue,result__isTargetStatDisplayable,result__targetErrorFlag,result__isSigDisplayable,result__gap,result__sig
1,200,2009,R3,2017,R3,MN:MN,MAT,4,AK,MRPCM,GENDER,Gender,Male,1,238.4459925,1,0,230.4517603,1,0,1,7.994232169,HIGHER
2,,2009,R3,2017,R3,MN:MN,MAT,4,AK,MRPCM,GENDER,Gender,Female,2,235.9293425,1,0,230.4611871,1,0,1,5.468155375,HIGHER
3,,2009,R3,2017,R3,MN:MN,MAT,4,AL,MRPCM,GENDER,Gender,Male,1,227.7181926,1,0,232.4585701,1,0,1,-4.740377461,LOWER
4,,2009,R3,2017,R3,MN:MN,MAT,4,AL,MRPCM,GENDER,Gender,Female,2,228.2247489,1,0,231.8784817,1,0,1,-3.653732845,LOWER
5,,2009,R3,2017,R3,MN:MN,MAT,4,AR,MRPCM,GENDER,Gender,Male,1,238.8245826,1,0,234.9807022,1,0,1,3.843880386,HIGHER
6,,2009,R3,2017,R3,MN:MN,MAT,4,AR,MRPCM,GENDER,Gender,Female,2,236.1995327,1,0,232.6649876,1,0,1,3.534545133,HIGHER
7,,2009,R3,2017,R3,MN:MN,MAT,4,AZ,MRPCM,GENDER,Gender,Male,1,230.2839495,1,0,235.6316557,1,0,1,-5.347706172,LOWER
8,,2009,R3,2017,R3,MN:MN,MAT,4,AZ,MRPCM,GENDER,Gender,Female,2,229.6868592,1,0,233.2150457,1,0,1,-3.528186524,LOWER
9,,2009,R3,2017,R3,MN:MN,MAT,4,CA,MRPCM,GENDER,Gender,Male,1,232.6138321,1,0,233.2656862,1,0,1,-0.651854043,EQUAL
10,,2009,R3,2017,R3,MN:MN,MAT,4,CA,MRPCM,GENDER,Gender,Female,2,230.6765415,1,0,231.2155055,1,0,1,-0.538964046,EQUAL
11,,2009,R3,2017,R3,MN:MN,MAT,4,CO,MRPCM,GENDER,Gender,Male,1,243.965015,1,0,240.2821937,1,0,1,3.682821273,EQUAL
