id,status,result__focalYear,result__focalSample,result__targetYear,result__targetSample,result__statType,result__subject,result__grade,result__jurisdiction,result__scale,result__variable,result__variableLabel,result__valLabel,result__valValue,result__focalValue,result__isFocalStatDisplayable,result__focalErrorFlag,result__targetValue,result__isTargetStatDisplayable,result__targetErrorFlag,result__isSigDisplayable,result__gap,result__sig
1,200,2009,R3,2017,R3,MN:MN,RED,4,AK,RRPCM,GENDER,Gender,Male,1,206.7242292,1,0,203.0513017,1,0,1,3.672927504,EQUAL
2,,2009,R3,2017,R3,MN:MN,RED,4,AK,RRPCM,GENDER,Gender,Female,2,215.7112338,1,0,211.3433427,1,0,1,4.367891116,EQUAL
3,,2009,R3,2017,R3,MN:MN,RED,4,AL,RRPCM,GENDER,Gender,Male,1,211.7419305,1,0,212.8211091,1,0,1,-1.079178604,EQUAL
4,,2009,R3,2017,R3,MN:MN,RED,4,AL,RRPCM,GENDER,Gender,Female,2,221.1006988,1,0,220.0065999,1,0,1,1.094098971,EQUAL
5,,2009,R3,2017,R3,MN:MN,RED,4,AR,RRPCM,GENDER,Gender,Male,1,210.975858,1,0,211.74262,1,0,1,-0.766762077,EQUAL
6,,2009,R3,2017,R3,MN:MN,RED,4,AR,RRPCM,GENDER,Gender,Female,2,221.5645131,1,0,220.6330097,1,0,1,0.931503451,EQUAL
7,,2009,R3,2017,R3,MN:MN,RED,4,AZ,RRPCM,GENDER,Gender,Male,1,206.9136801,1,0,213.4626704,1,0,1,-6.54899033,LOWER
8,,2009,R3,2017,R3,MN:MN,RED,4,AZ,RRPCM,GENDER,Gender,Female,2,213.1892245,1,0,217.5202269,1,0,1,-4.33100246,EQUAL
9,,2009,R3,2017,R3,MN:MN,RED,4,CA,RRPCM,GENDER,Gender,Male,1,207.055218,1,0,210.7706082,1,0,1,-3.715390146,EQUAL
10,,2009,R3,2017,R3,MN:MN,RED,4,CA,RRPCM,GENDER,Gender,Female,2,212.6376455,1,0,220.2931384,1,0,1,-7.655492896,LOWER
11,,2009,R3,2017,R3,MN:MN,RED,4,CO,RRPCM,GENDER,Gender,Male,1,222.255777,1,0,221.6164056,1,0,1,0.639371467,EQUAL
12,,2009,R3,2017,R3,MN:MN,RED,4,CO,RRPCM,GENDER,Gender,Female,2,229.2295877,1,0,228.0204314,1,0,1,1.209156338,EQUAL
13,,2009,R3,2017,R3,MN:MN,RED,4,CT,RRPCM,GENDER,Gender,Male,1,224.5390532,1,0,225.6988499,1,0,1,-1.159796708,EQUAL
14,,2009,R3,2017,R3,MN:MN,RED,4,CT,RRPCM,GENDER,Gender,Female,2,233.5036258,1,0,231.0694053,1,0,1,2.434220473,EQUAL
15,,2009,R3,2017,R3,MN:MN,RED,4,DC,RRPCM,GENDER,Gender,Male,1,198.0947662,1,0,209.7059168,1,0,1,-11.61115065,LOWER
16,,2009,R3,2017,R3,MN:MN,RED,4,DC,RRPCM,GENDER,Gender,Female,2,205.7459404,1,0,217.0726847,1,0,1,-11.32674425,LOWER
17,,2009,R3,2017,R3,MN:MN,RED,4,DE,RRPCM,GENDER,Gender,Male,1,222.8717419,1,0,217.0214095,1,0,1,5.850332416,HIGHER
18,,2009,R3,2017,R3,MN:MN,RED,4,DE,RRPCM,GENDER,Gender,Female,2,228.1886232,1,0,226.0044074,1,0,1,2.184215874,EQUAL
19,,2009,R3,2017,R3,MN:MN,RED,4,FL,RRPCM,GENDER,Gender,Male,1,222.5201961,1,0,226.0874762,1,0,1,-3.567280031,EQUAL
20,,2009,R3,2017,R3,MN:MN,RED,4,FL,RRPCM,GENDER,Gender,Female,2,228.8642131,1,0,230.5293065,1,0,1,-1.665093399,EQUAL
21,,2009,R3,2017,R3,MN:MN,RED,4,GA,RRPCM,GENDER,Gender,Male,1,214.2857138,1,0,215.9960475,1,0,1,-1.710333751,EQUAL
22,,2009,R3,2017,R3,MN:MN,RED,4,GA,RRPCM,GENDER,Gender,Female,2,221.3610349,1,0,223.4661982,1,0,1,-2.105163282,EQUAL
23,,2009,R3,2017,R3,MN:MN,RED,4,HI,RRPCM,GENDER,Gender,Male,1,205.1332239,1,0,211.9643975,1,0,1,-6.831173599,LOWER
24,,2009,R3,2017,R3,MN:MN,RED,4,HI,RRPCM,GENDER,Gender,Female,2,216.6672606,1,0,221.1629899,1,0,1,-4.495729347,LOWER
25,,2009,R3,2017,R3,MN:MN,RED,4,IA,RRPCM,GENDER,Gender,Male,1,216.9694323,1,0,218.8868248,1,0,1,-1.917392481,EQUAL
26,,2009,R3,2017,R3,MN:MN,RED,4,IA,RRPCM,GENDER,Gender,Female,2,225.965448,1,0,224.7672839,1,0,1,1.198164075,EQUAL
27,,2009,R3,2017,R3,MN:MN,RED,4,ID,RRPCM,GENDER,Gender,Male,1,216.5292228,1,0,220.3231426,1,0,1,-3.793919759,EQUAL
28,,2009,R3,2017,R3,MN:MN,RED,4,ID,RRPCM,GENDER,Gender,Female,2,225.5082653,1,0,225.3600964,1,0,1,0.148168929,EQUAL
29,,2009,R3,2017,R3,MN:MN,RED,4,IL,RRPCM,GENDER,Gender,Male,1,214.8423846,1,0,217.1987686,1,0,1,-2.35638402,EQUAL
30,,2009,R3,2017,R3,MN:MN,RED,4,IL,RRPCM,GENDER,Gender,Female,2,223.5129821,1,0,223.5117709,1,0,1,0.001211224,EQUAL
31,,2009,R3,2017,R3,MN:MN,RED,4,IN,RRPCM,GENDER,Gender,Male,1,218.3968134,1,0,224.2207755,1,0,1,-5.823962004,LOWER
32,,2009,R3,2017,R3,MN:MN,RED,4,IN,RRPCM,GENDER,Gender,Female,2,227.0696154,1,0,228.740295,1,0,1,-1.67067964,EQUAL
33,,2009,R3,2017,R3,MN:MN,RED,4,KS,RRPCM,GENDER,Gender,Male,1,222.1581946,1,0,220.723398,1,0,1,1.434796592,EQUAL
34,,2009,R3,2017,R3,MN:MN,RED,4,KS,RRPCM,GENDER,Gender,Female,2,225.8242076,1,0,226.0057583,1,0,1,-0.181550729,EQUAL
35,,2009,R3,2017,R3,MN:MN,RED,4,KY,RRPCM,GENDER,Gender,Male,1,222.3486903,1,0,221.9300199,1,0,1,0.418670388,EQUAL
36,,2009,R3,2017,R3,MN:MN,RED,4,KY,RRPCM,GENDER,Gender,Female,2,228.9013547,1,0,226.2773158,1,0,1,2.624038898,EQUAL
37,,2009,R3,2017,R3,MN:MN,RED,4,LA,RRPCM,GENDER,Gender,Male,1,202.9714742,1,0,210.247424,1,0,1,-7.275949802,LOWER
38,,2009,R3,2017,R3,MN:MN,RED,4,LA,RRPCM,GENDER,Gender,Female,2,212.2863014,1,0,213.0166577,1,0,1,-0.730356232,EQUAL
39,,2009,R3,2017,R3,MN:MN,RED,4,MA,RRPCM,GENDER,Gender,Male,1,231.1401318,1,0,232.9402589,1,0,1,-1.80012711,EQUAL
40,,2009,R3,2017,R3,MN:MN,RED,4,MA,RRPCM,GENDER,Gender,Female,2,236.3237981,1,0,238.5091687,1,0,1,-2.185370567,EQUAL
41,,2009,R3,2017,R3,MN:MN,RED,4,MD,RRPCM,GENDER,Gender,Male,1,222.5177629,1,0,220.6955107,1,0,1,1.822252214,EQUAL
42,,2009,R3,2017,R3,MN:MN,RED,4,MD,RRPCM,GENDER,Gender,Female,2,229.4387251,1,0,229.5910877,1,0,1,-0.152362612,EQUAL
43,,2009,R3,2017,R3,MN:MN,RED,4,ME,RRPCM,GENDER,Gender,Male,1,219.5802337,1,0,219.2110349,1,0,1,0.369198832,EQUAL
44,,2009,R3,2017,R3,MN:MN,RED,4,ME,RRPCM,GENDER,Gender,Female,2,228.0968161,1,0,223.5981836,1,0,1,4.498632485,EQUAL
45,,2009,R3,2017,R3,MN:MN,RED,4,MI,RRPCM,GENDER,Gender,Male,1,214.3957909,1,0,213.5858073,1,0,1,0.809983557,EQUAL
46,,2009,R3,2017,R3,MN:MN,RED,4,MI,RRPCM,GENDER,Gender,Female,2,222.1448852,1,0,221.9864251,1,0,1,0.158460188,EQUAL
47,,2009,R3,2017,R3,MN:MN,RED,4,MN,RRPCM,GENDER,Gender,Male,1,219.8187462,1,0,221.9607287,1,0,1,-2.141982557,EQUAL
48,,2009,R3,2017,R3,MN:MN,RED,4,MN,RRPCM,GENDER,Gender,Female,2,226.9751804,1,0,227.1478064,1,0,1,-0.172626007,EQUAL
49,,2009,R3,2017,R3,MN:MN,RED,4,MO,RRPCM,GENDER,Gender,Male,1,218.9749832,1,0,220.5014873,1,0,1,-1.526504038,EQUAL
50,,2009,R3,2017,R3,MN:MN,RED,4,MO,RRPCM,GENDER,Gender,Female,2,229.0948613,1,0,224.9762771,1,0,1,4.118584153,EQUAL
51,,2009,R3,2017,R3,MN:MN,RED,4,MS,RRPCM,GENDER,Gender,Male,1,207.6306934,1,0,211.5782451,1,0,1,-3.947551653,EQUAL
52,,2009,R3,2017,R3,MN:MN,RED,4,MS,RRPCM,GENDER,Gender,Female,2,213.4753024,1,0,218.9452266,1,0,1,-5.469924212,LOWER
53,,2009,R3,2017,R3,MN:MN,RED,4,MT,RRPCM,GENDER,Gender,Male,1,221.7826605,1,0,220.2263928,1,0,1,1.556267762,EQUAL
54,,2009,R3,2017,R3,MN:MN,RED,4,MT,RRPCM,GENDER,Gender,Female,2,227.6048386,1,0,224.626019,1,0,1,2.978819648,EQUAL
55,,2009,R3,2017,R3,MN:MN,RED,4,NC,RRPCM,GENDER,Gender,Male,1,214.7877843,1,0,221.1697234,1,0,1,-6.381939055,LOWER
56,,2009,R3,2017,R3,MN:MN,RED,4,NC,RRPCM,GENDER,Gender,Female,2,224.0209278,1,0,226.8317849,1,0,1,-2.810857115,EQUAL
57,,2009,R3,2017,R3,MN:MN,RED,4,ND,RRPCM,GENDER,Gender,Male,1,223.1073372,1,0,216.6819683,1,0,1,6.42536884,HIGHER
58,,2009,R3,2017,R3,MN:MN,RED,4,ND,RRPCM,GENDER,Gender,Female,2,228.9185892,1,0,226.6956902,1,0,1,2.222899028,EQUAL
59,,2009,R3,2017,R3,MN:MN,RED,4,NE,RRPCM,GENDER,Gender,Male,1,219.6725023,1,0,220.766447,1,0,1,-1.09394473,EQUAL
60,,2009,R3,2017,R3,MN:MN,RED,4,NE,RRPCM,GENDER,Gender,Female,2,225.4668601,1,0,227.6535923,1,0,1,-2.186732215,EQUAL
61,,2009,R3,2017,R3,MN:MN,RED,4,NH,RRPCM,GENDER,Gender,Male,1,225.8540059,1,0,227.622395,1,0,1,-1.768389052,EQUAL
62,,2009,R3,2017,R3,MN:MN,RED,4,NH,RRPCM,GENDER,Gender,Female,2,232.6529539,1,0,230.2115385,1,0,1,2.441415407,EQUAL
63,,2009,R3,2017,R3,MN:MN,RED,4,NJ,RRPCM,GENDER,Gender,Male,1,227.1098772,1,0,228.6767459,1,0,1,-1.566868752,EQUAL
64,,2009,R3,2017,R3,MN:MN,RED,4,NJ,RRPCM,GENDER,Gender,Female,2,231.6981536,1,0,237.3914716,1,0,1,-5.693317969,LOWER
65,,2009,R3,2017,R3,MN:MN,RED,4,NM,RRPCM,GENDER,Gender,Male,1,202.8343689,1,0,203.9584918,1,0,1,-1.124122857,EQUAL
66,,2009,R3,2017,R3,MN:MN,RED,4,NM,RRPCM,GENDER,Gender,Female,2,212.5948396,1,0,211.6048107,1,0,1,0.990028885,EQUAL
67,,2009,R3,2017,R3,MN:MN,RED,4,NT,RRPCM,GENDER,Gender,Male,1,217.6064798,1,0,218.9657819,1,0,1,-1.35930209,LOWER
68,,2009,R3,2017,R3,MN:MN,RED,4,NT,RRPCM,GENDER,Gender,Female,2,224.3467677,1,0,224.9204301,1,0,1,-0.573662396,EQUAL
69,,2009,R3,2017,R3,MN:MN,RED,4,NV,RRPCM,GENDER,Gender,Male,1,208.2577906,1,0,211.246494,1,0,1,-2.988703366,EQUAL
70,,2009,R3,2017,R3,MN:MN,RED,4,NV,RRPCM,GENDER,Gender,Female,2,213.9765537,1,0,218.5330535,1,0,1,-4.556499801,EQUAL
71,,2009,R3,2017,R3,MN:MN,RED,4,NY,RRPCM,GENDER,Gender,Male,1,220.7946954,1,0,219.0240122,1,0,1,1.77068324,EQUAL
72,,2009,R3,2017,R3,MN:MN,RED,4,NY,RRPCM,GENDER,Gender,Female,2,228.1099483,1,0,224.7796747,1,0,1,3.330273619,EQUAL
73,,2009,R3,2017,R3,MN:MN,RED,4,OH,RRPCM,GENDER,Gender,Male,1,221.6434886,1,0,223.4978476,1,0,1,-1.854358999,EQUAL
74,,2009,R3,2017,R3,MN:MN,RED,4,OH,RRPCM,GENDER,Gender,Female,2,227.3593687,1,0,227.0989995,1,0,1,0.260369166,EQUAL
75,,2009,R3,2017,R3,MN:MN,RED,4,OK,RRPCM,GENDER,Gender,Male,1,213.9650773,1,0,212.8841397,1,0,1,1.08093759,EQUAL
76,,2009,R3,2017,R3,MN:MN,RED,4,OK,RRPCM,GENDER,Gender,Female,2,220.3606144,1,0,220.4054911,1,0,1,-0.044876644,EQUAL
77,,2009,R3,2017,R3,MN:MN,RED,4,OR,RRPCM,GENDER,Gender,Male,1,214.1195805,1,0,212.4031468,1,0,1,1.716433742,EQUAL
78,,2009,R3,2017,R3,MN:MN,RED,4,OR,RRPCM,GENDER,Gender,Female,2,222.500492,1,0,222.7805546,1,0,1,-0.280062568,EQUAL
79,,2009,R3,2017,R3,MN:MN,RED,4,PA,RRPCM,GENDER,Gender,Male,1,221.3485904,1,0,224.1111222,1,0,1,-2.762531848,EQUAL
80,,2009,R3,2017,R3,MN:MN,RED,4,PA,RRPCM,GENDER,Gender,Female,2,226.1305387,1,0,225.7563073,1,0,1,0.374231402,EQUAL
81,,2009,R3,2017,R3,MN:MN,RED,4,RI,RRPCM,GENDER,Gender,Male,1,217.8659933,1,0,220.6055766,1,0,1,-2.739583261,EQUAL
82,,2009,R3,2017,R3,MN:MN,RED,4,RI,RRPCM,GENDER,Gender,Female,2,227.7883546,1,0,226.1516855,1,0,1,1.636669061,EQUAL
83,,2009,R3,2017,R3,MN:MN,RED,4,SC,RRPCM,GENDER,Gender,Male,1,213.4061276,1,0,209.566332,1,0,1,3.839795546,EQUAL
84,,2009,R3,2017,R3,MN:MN,RED,4,SC,RRPCM,GENDER,Gender,Female,2,218.5484679,1,0,216.9088547,1,0,1,1.639613146,EQUAL
85,,2009,R3,2017,R3,MN:MN,RED,4,SD,RRPCM,GENDER,Gender,Male,1,219.5269395,1,0,219.1506216,1,0,1,0.376317882,EQUAL
86,,2009,R3,2017,R3,MN:MN,RED,4,SD,RRPCM,GENDER,Gender,Female,2,224.9867318,1,0,224.399956,1,0,1,0.586775813,EQUAL
87,,2009,R3,2017,R3,MN:MN,RED,4,TN,RRPCM,GENDER,Gender,Male,1,213.8577252,1,0,215.2982663,1,0,1,-1.440541147,EQUAL
88,,2009,R3,2017,R3,MN:MN,RED,4,TN,RRPCM,GENDER,Gender,Female,2,219.6545831,1,0,222.6835514,1,0,1,-3.028968374,EQUAL
89,,2009,R3,2017,R3,MN:MN,RED,4,TX,RRPCM,GENDER,Gender,Male,1,215.6711127,1,0,213.4800334,1,0,1,2.191079299,EQUAL
90,,2009,R3,2017,R3,MN:MN,RED,4,TX,RRPCM,GENDER,Gender,Female,2,222.1728967,1,0,216.385005,1,0,1,5.787891712,HIGHER
91,,2009,R3,2017,R3,MN:MN,RED,4,UT,RRPCM,GENDER,Gender,Male,1,216.9301106,1,0,221.0767767,1,0,1,-4.146666116,LOWER
92,,2009,R3,2017,R3,MN:MN,RED,4,UT,RRPCM,GENDER,Gender,Female,2,221.549557,1,0,229.6469348,1,0,1,-8.097377801,LOWER
93,,2009,R3,2017,R3,MN:MN,RED,4,VA,RRPCM,GENDER,Gender,Male,1,222.7808285,1,0,226.245481,1,0,1,-3.464652537,EQUAL
94,,2009,R3,2017,R3,MN:MN,RED,4,VA,RRPCM,GENDER,Gender,Female,2,230.4672902,1,0,229.0203004,1,0,1,1.446989828,EQUAL
95,,2009,R3,2017,R3,MN:MN,RED,4,VT,RRPCM,GENDER,Gender,Male,1,226.1078339,1,0,223.347718,1,0,1,2.760115925,EQUAL
96,,2009,R3,2017,R3,MN:MN,RED,4,VT,RRPCM,GENDER,Gender,Female,2,231.4772687,1,0,229.6473138,1,0,1,1.829954884,EQUAL
97,,2009,R3,2017,R3,MN:MN,RED,4,WA,RRPCM,GENDER,Gender,Male,1,217.0907011,1,0,220.2532377,1,0,1,-3.162536654,EQUAL
98,,2009,R3,2017,R3,MN:MN,RED,4,WA,RRPCM,GENDER,Gender,Female,2,225.733106,1,0,226.1011123,1,0,1,-0.36800631,EQUAL
99,,2009,R3,2017,R3,MN:MN,RED,4,WI,RRPCM,GENDER,Gender,Male,1,216.606254,1,0,216.7292028,1,0,1,-0.122948803,EQUAL
100,,2009,R3,2017,R3,MN:MN,RED,4,WI,RRPCM,GENDER,Gender,Female,2,223.8881088,1,0,222.7703131,1,0,1,1.117795643,EQUAL
101,,2009,R3,2017,R3,MN:MN,RED,4,WV,RRPCM,GENDER,Gender,Male,1,210.8666042,1,0,212.8990026,1,0,1,-2.032398408,EQUAL
102,,2009,R3,2017,R3,MN:MN,RED,4,WV,RRPCM,GENDER,Gender,Female,2,218.3040847,1,0,221.8400483,1,0,1,-3.535963531,EQUAL
103,,2009,R3,2017,R3,MN:MN,RED,4,WY,RRPCM,GENDER,Gender,Male,1,219.1295972,1,0,224.1985693,1,0,1,-5.068972087,LOWER
104,,2009,R3,2017,R3,MN:MN,RED,4,WY,RRPCM,GENDER,Gender,Female,2,226.4977208,1,0,229.6916923,1,0,1,-3.193971487,LOWER
105,,2017,R3,2009,R3,MN:MN,RED,4,AK,RRPCM,GENDER,Gender,Male,1,203.0513017,1,0,206.7242292,1,0,1,-3.672927504,EQUAL
106,,2017,R3,2009,R3,MN:MN,RED,4,AK,RRPCM,GENDER,Gender,Female,2,211.3433427,1,0,215.7112338,1,0,1,-4.367891116,EQUAL
107,,2017,R3,2009,R3,MN:MN,RED,4,AL,RRPCM,GENDER,Gender,Male,1,212.8211091,1,0,211.7419305,1,0,1,1.079178604,EQUAL
108,,2017,R3,2009,R3,MN:MN,RED,4,AL,RRPCM,GENDER,Gender,Female,2,220.0065999,1,0,221.1006988,1,0,1,-1.094098971,EQUAL
109,,2017,R3,2009,R3,MN:MN,RED,4,AR,RRPCM,GENDER,Gender,Male,1,211.74262,1,0,210.975858,1,0,1,0.766762077,EQUAL
110,,2017,R3,2009,R3,MN:MN,RED,4,AR,RRPCM,GENDER,Gender,Female,2,220.6330097,1,0,221.5645131,1,0,1,-0.931503451,EQUAL
111,,2017,R3,2009,R3,MN:MN,RED,4,AZ,RRPCM,GENDER,Gender,Male,1,213.4626704,1,0,206.9136801,1,0,1,6.54899033,HIGHER
112,,2017,R3,2009,R3,MN:MN,RED,4,AZ,RRPCM,GENDER,Gender,Female,2,217.5202269,1,0,213.1892245,1,0,1,4.33100246,EQUAL
113,,2017,R3,2009,R3,MN:MN,RED,4,CA,RRPCM,GENDER,Gender,Male,1,210.7706082,1,0,207.055218,1,0,1,3.715390146,EQUAL
114,,2017,R3,2009,R3,MN:MN,RED,4,CA,RRPCM,GENDER,Gender,Female,2,220.2931384,1,0,212.6376455,1,0,1,7.655492896,HIGHER
115,,2017,R3,2009,R3,MN:MN,RED,4,CO,RRPCM,GENDER,Gender,Male,1,221.6164056,1,0,222.255777,1,0,1,-0.639371467,EQUAL
116,,2017,R3,2009,R3,MN:MN,RED,4,CO,RRPCM,GENDER,Gender,Female,2,228.0204314,1,0,229.2295877,1,0,1,-1.209156338,EQUAL
117,,2017,R3,2009,R3,MN:MN,RED,4,CT,RRPCM,GENDER,Gender,Male,1,225.6988499,1,0,224.5390532,1,0,1,1.159796708,EQUAL
118,,2017,R3,2009,R3,MN:MN,RED,4,CT,RRPCM,GENDER,Gender,Female,2,231.0694053,1,0,233.5036258,1,0,1,-2.434220473,EQUAL
119,,2017,R3,2009,R3,MN:MN,RED,4,DC,RRPCM,GENDER,Gender,Male,1,209.7059168,1,0,198.0947662,1,0,1,11.61115065,HIGHER
120,,2017,R3,2009,R3,MN:MN,RED,4,DC,RRPCM,GENDER,Gender,Female,2,217.0726847,1,0,205.7459404,1,0,1,11.32674425,HIGHER
121,,2017,R3,2009,R3,MN:MN,RED,4,DE,RRPCM,GENDER,Gender,Male,1,217.0214095,1,0,222.8717419,1,0,1,-5.850332416,LOWER
122,,2017,R3,2009,R3,MN:MN,RED,4,DE,RRPCM,GENDER,Gender,Female,2,226.0044074,1,0,228.1886232,1,0,1,-2.184215874,EQUAL
123,,2017,R3,2009,R3,MN:MN,RED,4,FL,RRPCM,GENDER,Gender,Male,1,226.0874762,1,0,222.5201961,1,0,1,3.567280031,EQUAL
124,,2017,R3,2009,R3,MN:MN,RED,4,FL,RRPCM,GENDER,Gender,Female,2,230.5293065,1,0,228.8642131,1,0,1,1.665093399,EQUAL
125,,2017,R3,2009,R3,MN:MN,RED,4,GA,RRPCM,GENDER,Gender,Male,1,215.9960475,1,0,214.2857138,1,0,1,1.710333751,EQUAL
126,,2017,R3,2009,R3,MN:MN,RED,4,GA,RRPCM,GENDER,Gender,Female,2,223.4661982,1,0,221.3610349,1,0,1,2.105163282,EQUAL
127,,2017,R3,2009,R3,MN:MN,RED,4,HI,RRPCM,GENDER,Gender,Male,1,211.9643975,1,0,205.1332239,1,0,1,6.831173599,HIGHER
128,,2017,R3,2009,R3,MN:MN,RED,4,HI,RRPCM,GENDER,Gender,Female,2,221.1629899,1,0,216.6672606,1,0,1,4.495729347,HIGHER
129,,2017,R3,2009,R3,MN:MN,RED,4,IA,RRPCM,GENDER,Gender,Male,1,218.8868248,1,0,216.9694323,1,0,1,1.917392481,EQUAL
130,,2017,R3,2009,R3,MN:MN,RED,4,IA,RRPCM,GENDER,Gender,Female,2,224.7672839,1,0,225.965448,1,0,1,-1.198164075,EQUAL
131,,2017,R3,2009,R3,MN:MN,RED,4,ID,RRPCM,GENDER,Gender,Male,1,220.3231426,1,0,216.5292228,1,0,1,3.793919759,EQUAL
132,,2017,R3,2009,R3,MN:MN,RED,4,ID,RRPCM,GENDER,Gender,Female,2,225.3600964,1,0,225.5082653,1,0,1,-0.148168929,EQUAL
133,,2017,R3,2009,R3,MN:MN,RED,4,IL,RRPCM,GENDER,Gender,Male,1,217.1987686,1,0,214.8423846,1,0,1,2.35638402,EQUAL
134,,2017,R3,2009,R3,MN:MN,RED,4,IL,RRPCM,GENDER,Gender,Female,2,223.5117709,1,0,223.5129821,1,0,1,-0.001211224,EQUAL
135,,2017,R3,2009,R3,MN:MN,RED,4,IN,RRPCM,GENDER,Gender,Male,1,224.2207755,1,0,218.3968134,1,0,1,5.823962004,HIGHER
136,,2017,R3,2009,R3,MN:MN,RED,4,IN,RRPCM,GENDER,Gender,Female,2,228.740295,1,0,227.0696154,1,0,1,1.67067964,EQUAL
137,,2017,R3,2009,R3,MN:MN,RED,4,KS,RRPCM,GENDER,Gender,Male,1,220.723398,1,0,222.1581946,1,0,1,-1.434796592,EQUAL
138,,2017,R3,2009,R3,MN:MN,RED,4,KS,RRPCM,GENDER,Gender,Female,2,226.0057583,1,0,225.8242076,1,0,1,0.181550729,EQUAL
139,,2017,R3,2009,R3,MN:MN,RED,4,KY,RRPCM,GENDER,Gender,Male,1,221.9300199,1,0,222.3486903,1,0,1,-0.418670388,EQUAL
140,,2017,R3,2009,R3,MN:MN,RED,4,KY,RRPCM,GENDER,Gender,Female,2,226.2773158,1,0,228.9013547,1,0,1,-2.624038898,EQUAL
141,,2017,R3,2009,R3,MN:MN,RED,4,LA,RRPCM,GENDER,Gender,Male,1,210.247424,1,0,202.9714742,1,0,1,7.275949802,HIGHER
142,,2017,R3,2009,R3,MN:MN,RED,4,LA,RRPCM,GENDER,Gender,Female,2,213.0166577,1,0,212.2863014,1,0,1,0.730356232,EQUAL
143,,2017,R3,2009,R3,MN:MN,RED,4,MA,RRPCM,GENDER,Gender,Male,1,232.9402589,1,0,231.1401318,1,0,1,1.80012711,EQUAL
144,,2017,R3,2009,R3,MN:MN,RED,4,MA,RRPCM,GENDER,Gender,Female,2,238.5091687,1,0,236.3237981,1,0,1,2.185370567,EQUAL
145,,2017,R3,2009,R3,MN:MN,RED,4,MD,RRPCM,GENDER,Gender,Male,1,220.6955107,1,0,222.5177629,1,0,1,-1.822252214,EQUAL
146,,2017,R3,2009,R3,MN:MN,RED,4,MD,RRPCM,GENDER,Gender,Female,2,229.5910877,1,0,229.4387251,1,0,1,0.152362612,EQUAL
147,,2017,R3,2009,R3,MN:MN,RED,4,ME,RRPCM,GENDER,Gender,Male,1,219.2110349,1,0,219.5802337,1,0,1,-0.369198832,EQUAL
148,,2017,R3,2009,R3,MN:MN,RED,4,ME,RRPCM,GENDER,Gender,Female,2,223.5981836,1,0,228.0968161,1,0,1,-4.498632485,EQUAL
149,,2017,R3,2009,R3,MN:MN,RED,4,MI,RRPCM,GENDER,Gender,Male,1,213.5858073,1,0,214.3957909,1,0,1,-0.809983557,EQUAL
150,,2017,R3,2009,R3,MN:MN,RED,4,MI,RRPCM,GENDER,Gender,Female,2,221.9864251,1,0,222.1448852,1,0,1,-0.158460188,EQUAL
151,,2017,R3,2009,R3,MN:MN,RED,4,MN,RRPCM,GENDER,Gender,Male,1,221.9607287,1,0,219.8187462,1,0,1,2.141982557,EQUAL
152,,2017,R3,2009,R3,MN:MN,RED,4,MN,RRPCM,GENDER,Gender,Female,2,227.1478064,1,0,226.9751804,1,0,1,0.172626007,EQUAL
153,,2017,R3,2009,R3,MN:MN,RED,4,MO,RRPCM,GENDER,Gender,Male,1,220.5014873,1,0,218.9749832,1,0,1,1.526504038,EQUAL
