id,state,gender,avg_2009_mathScores,avg_2017_mathScores,mathScores_precentChange
2,AK,Female,235.9293425,230.4611871,5.468155375
4,AL,Female,228.2247489,231.87848169999998,-3.653732845
6,AR,Female,236.1995327,232.66498760000002,3.534545133
8,AZ,Female,229.68685919999996,233.2150457,-3.5281865239999997
10,CA,Female,230.6765415,231.2155055,-0.538964046
12,CO,Female,242.2698015,241.13729730000003,1.132504124
14,CT,Female,242.96108790000002,236.91665030000001,6.044437553
16,DC,Female,220.5677797,231.2817799,-10.71400017
18,DE,Female,237.7510974,236.66877599999998,1.082321407
20,FL,Female,241.3373227,245.23157,-3.894247337
22,GA,Female,235.5460739,236.0913659,-0.545291935
24,HI,Female,236.1308716,237.750739,-1.61986734
26,IA,Female,241.8441682,240.9940059,0.850162306
28,ID,Female,240.13089580000002,238.2289001,1.9019956869999999
30,IL,Female,236.9052525,236.6028134,0.302439132
32,IN,Female,242.2299855,244.6945339,-2.46454845
34,KS,Female,244.3872114,239.8473267,4.539884693
36,KY,Female,237.56751949999997,237.52027719999998,0.04724221
38,LA,Female,228.68993909999998,229.35140840000003,-0.661469259
40,MA,Female,251.08238980000002,246.59656850000002,4.485821288
42,MD,Female,243.34619300000003,239.06334640000003,4.282846558999999
44,ME,Female,242.2710866,239.5559952,2.715091379
46,MI,Female,234.95298160000002,234.2812085,0.671773057
48,MN,Female,247.556902,247.18105690000002,0.375845026
50,MO,Female,240.0938702,237.6815798,2.41229038
52,MS,Female,227.854993,233.90217119999997,-6.047178221
54,MT,Female,241.6644649,240.04140550000002,1.6230594809999999
56,NC,Female,243.5792701,240.00583250000003,3.573437619
58,ND,Female,243.5153071,242.74885609999998,0.766450938
60,NE,Female,238.7398143,243.84341969999997,-5.103605408
62,NH,Female,249.8650685,243.59176150000002,6.273307075
64,NJ,Female,244.5251381,247.4159119,-2.89077376
66,NM,Female,229.3881713,228.9597938,0.428377526
68,NT,Female,238.69441969999997,238.59400019999998,0.10041951
70,NV,Female,234.2039974,231.282843,2.921154449
72,NY,Female,239.3247083,233.4225455,5.902162767999999
74,OH,Female,241.87394480000003,240.4299969,1.443947864
76,OK,Female,235.6251517,235.8625867,-0.237434957
78,OR,Female,235.97175570000002,231.0436143,4.928141427
80,PA,Female,242.36482469999999,239.97992069999998,2.384904024
82,RI,Female,237.00482000000002,236.9472733,0.057546712
84,SC,Female,235.1828128,233.12889359999997,2.0539191519999997
86,SD,Female,240.6416357,239.36951919999998,1.2721164109999998
88,TN,Female,231.4680404,236.4169963,-4.9489559210000005
90,TX,Female,240.02622659999997,240.8321055,-0.805878877
92,UT,Female,239.2707128,240.31077480000002,-1.040062072
94,VA,Female,241.4090858,245.47200660000001,-4.062920797
